restaurant_name,location,cuisine,michelin_stars,google_rating,total_google_reviews,reviewer,rating,review_text,date,language
Poondang Kaengron,"Chiang Mai, Thailand",Thai,0,4.8,1041,Philipp Molzer,5,Beautiful setting in a restored Thai wooden house.  Good selection of carefully prepared Thai dishes.  Wait staff are very attentive.,a month ago,en
Poondang Kaengron,"Chiang Mai, Thailand",Thai,0,4.8,1041,Chu Chu,5,"⸻

Poon Daeng Kaeng Ron
This place feels homestyle, but the flavors are anything but ordinary 🌶️🍲
The curries live up to the name—steaming hot, bold, and full of spice. Every bite tastes like sitting down for a family meal in a bustling Bangkok evening market.

The food is straightforward Thai classics—red curry, green curry, stir-fries—but each dish is rich, layered, and generous with herbs and spice. Nothing watered down, everything full-on, just like a market cook who never skimps on ingredients 🥘🔥

Prices are friendly, the kind that make you feel full and satisfied without thinking twice. Perfect spot whether you come with friends, family, or even solo for a comforting meal.

Bottom line: If you’re craving hot rice with real-deal Thai curries, this place will not let you down 🙌",a month ago,en
Poondang Kaengron,"Chiang Mai, Thailand",Thai,0,4.8,1041,Sebastian Ulbrich,5,"A hidden Gem. Food is delicious. Price little over  average, but taste speek for itself. The place has very charming atmosphere with good attentive service. Highly recommended.",2 months ago,en
Poondang Kaengron,"Chiang Mai, Thailand",Thai,0,4.8,1041,Pitch Prukpitikul,5,Love the vibe feeling so homies. The food is great prices are reasonable too,3 months ago,en
Laab Ton Yang (San Phi Suea),"Chiang Mai, Thailand",Northern Thai,0,4.4,1186,Renbo Huang,5,"Actually 5 stars for the service. We were one of the last tables and they were very kind to us, offering free soup.

The bitterness of the raw buffalo was not my style but I know it fits the palate of local people. Reasonable prices of around 50 THB per laab plate.",5 months ago,en
Laab Ton Yang (San Phi Suea),"Chiang Mai, Thailand",Northern Thai,0,4.4,1186,Indie Lifestyle,5,"If you want a real THAI CUISINE with 100% taste really good by Thai standard, please come and try to dine here!

It was a great culinary experience, unique and reflects the Thai culture especially with the Larb, just wow! There are some dishes that we will never forget the taste. There is no vegetarian option but if you are a meat lover or somehow a pescetarian like me (they have fish options), this is a good place to go. The vibe of the place is also cozy and would be perfect to dine in with family. All good!",9 months ago,en
Laab Ton Yang (San Phi Suea),"Chiang Mai, Thailand",Northern Thai,0,4.4,1186,P,4,"tasty food however papaya salad was not so impressive as the papaya was too ripe. service was attentive. for atmosphere, many people come here to drink so the noise was a bit loud. they charge ฿20 per pax for ac room fee",a year ago,en
Laab Ton Yang (San Phi Suea),"Chiang Mai, Thailand",Northern Thai,0,4.4,1186,N. Puen,4,"Good northern (and northeastern) style food. Crowded during typical mealtime and you might have to wait for some dishes that need to be slowly cooked, e.g. grilled meat. But overall, serving waiting time is ok.",a year ago,en
Laab Ton Yang (San Phi Suea),"Chiang Mai, Thailand",Northern Thai,0,4.4,1186,Pusma Mahakayee,4,Very spicy and tasty Northern style dishes. Recommend to those who are not compromising with authentic spicy local food. Larb Khua (stir-fried mince pork with spices and herbs) is the must. Others are also good. Don’t forget to eat together with steamed sticky rice.,2 years ago,en
Seifu,"Bangkok, Thailand",Japanese,0,4.7,485,Héctor Cuellar Roesner,5,"Very good atmosphere. Food was amazing, we just arrived 45 minutes before closing and the staff kindly served us!
Food has quality and price is completely fair.
Must try their craft beers if you are into.
Make sure to ask for normal spicy in case you do not like it, otherwise, go for Thai spicy 😉",3 weeks ago,en
